iter	Passed	Remaining
0	12	12034
1	22	11382
2	33	11085
3	43	10856
4	52	10470
5	61	10160
6	70	9958
7	78	9790
8	88	9700
9	97	9605
10	106	9537
11	115	9478
12	124	9439
13	133	9429
14	143	9431
15	153	9459
16	162	9389
17	171	9361
18	180	9316
19	189	9292
20	198	9254
21	207	9217
22	216	9190
23	224	9142
24	233	9117
25	242	9090
26	251	9073
27	260	9057
28	270	9040
29	279	9027
30	290	9066
31	300	9096
32	311	9117
33	321	9144
34	333	9199
35	345	9251
36	356	9271
37	366	9284
38	377	9298
39	388	9317
40	397	9306
41	406	9272
42	415	9249
43	424	9217
44	432	9187
45	441	9160
46	450	9126
47	459	9106
48	468	9087
49	477	9071
50	486	9048
51	495	9025
52	503	8998
53	512	8972
54	521	8956
55	529	8934
56	539	8922
57	548	8911
58	557	8892
59	567	8889
60	575	8863
61	584	8845
62	593	8832
63	602	8814
64	611	8796
65	620	8777
66	629	8764
67	638	8750
68	647	8737
69	656	8717
70	664	8697
71	673	8680
72	682	8667
73	691	8654
74	700	8640
75	714	8681
76	726	8705
77	740	8758
78	754	8801
79	766	8815
80	777	8823
81	789	8833
82	800	8838
83	810	8839
84	820	8837
85	831	8841
86	843	8846
87	853	8849
88	864	8852
89	875	8854
90	886	8854
91	897	8854
92	909	8869
93	920	8867
94	930	8865
95	942	8871
96	953	8876
97	964	8876
98	974	8873
99	985	8869
100	996	8867
101	1007	8869
102	1018	8865
103	1029	8869
104	1041	8875
105	1051	8869
106	1062	8865
107	1072	8861
108	1083	8858
109	1093	8849
110	1104	8844
111	1116	8852
112	1127	8853
113	1138	8850
114	1149	8849
115	1161	8851
116	1173	8855
117	1182	8841
118	1191	8823
119	1200	8806
120	1209	8789
121	1218	8770
122	1227	8749
123	1235	8731
124	1244	8713
125	1253	8696
126	1262	8678
127	1271	8663
128	1280	8645
129	1290	8636
130	1299	8619
131	1308	8605
132	1324	8632
133	1348	8717
134	1392	8922
135	1418	9009
136	1455	9166
137	1471	9188
138	1484	9194
139	1497	9197
140	1510	9202
141	1522	9201
142	1534	9195
143	1547	9197
144	1558	9190
145	1570	9185
146	1581	9179
147	1596	9191
148	1609	9193
149	1622	9195
150	1636	9200
151	1649	9202
152	1661	9200
153	1673	9192
154	1685	9187
155	1696	9179
156	1708	9173
157	1721	9174
158	1737	9188
159	1750	9191
160	1764	9194
161	1779	9203
162	1793	9211
163	1804	9196
164	1817	9198
165	1829	9193
166	1840	9182
167	1851	9169
168	1862	9158
169	1873	9144
170	1884	9137
171	1899	9142
172	1914	9150
173	1940	9210
174	1954	9213
175	1966	9206
176	1978	9199
177	1990	9191
178	2000	9176
179	2011	9164
180	2022	9150
181	2032	9134
182	2042	9120
183	2053	9105
184	2063	9090
185	2074	9078
186	2084	9063
187	2095	9048
188	2105	9034
189	2116	9022
190	2127	9010
191	2138	9001
192	2149	8987
193	2160	8975
194	2170	8961
195	2180	8946
196	2190	8930
197	2203	8924
198	2213	8911
199	2224	8896
200	2238	8896
201	2251	8895
202	2268	8905
203	2281	8903
204	2295	8901
205	2308	8899
206	2322	8895
207	2334	8889
208	2347	8884
209	2360	8881
210	2376	8886
211	2392	8891
212	2405	8887
213	2419	8884
214	2430	8874
215	2442	8865
216	2453	8854
217	2465	8844
218	2476	8832
219	2487	8818
220	2498	8805
221	2508	8790
222	2519	8779
223	2530	8767
224	2544	8763
225	2556	8753
226	2567	8743
227	2579	8732
228	2591	8726
229	2606	8727
230	2623	8734
231	2640	8740
232	2652	8732
233	2665	8725
234	2678	8719
235	2691	8713
236	2704	8706
237	2717	8699
238	2730	8695
239	2742	8685
240	2757	8683
241	2768	8672
242	2780	8660
243	2790	8646
244	2802	8637
245	2813	8622
246	2824	8611
247	2836	8601
248	2848	8592
249	2862	8586
250	2876	8583
251	2889	8575
252	2901	8566
253	2912	8554
254	2932	8568
255	2946	8563
256	2959	8555
257	2970	8542
258	2983	8534
259	2996	8527
260	3009	8520
261	3023	8516
262	3035	8504
263	3047	8497
264	3062	8493
265	3073	8481
266	3086	8472
267	3097	8461
268	3109	8449
269	3121	8439
270	3132	8426
271	3143	8412
272	3156	8405
273	3169	8396
274	3181	8386
275	3193	8377
276	3205	8367
277	3217	8356
278	3229	8345
279	3241	8334
280	3252	8322
281	3264	8311
282	3276	8300
283	3287	8289
284	3304	8291
285	3319	8288
286	3333	8282
287	3347	8274
288	3359	8264
289	3372	8257
290	3384	8245
291	3395	8233
292	3407	8222
293	3421	8215
294	3433	8205
295	3445	8193
296	3456	8182
297	3469	8172
298	3481	8162
299	3495	8155
300	3509	8149
301	3521	8139
302	3537	8137
303	3549	8127
304	3562	8117
305	3572	8101
306	3582	8087
307	3631	8160
308	3702	8280
309	3747	8342
310	3778	8371
311	3795	8369
312	3822	8390
313	3834	8377
314	3846	8365
315	3859	8354
316	3871	8342
317	3883	8328
318	3896	8318
319	3910	8308
320	3922	8296
321	3935	8285
322	3946	8272
323	3957	8257
324	3969	8245
325	3983	8235
326	3997	8226
327	4013	8221
328	4030	8220
329	4043	8209
330	4056	8199
331	4070	8189
332	4083	8178
333	4095	8166
334	4107	8154
335	4118	8139
336	4129	8123
337	4140	8108
338	4151	8093
339	4162	8080
340	4172	8064
341	4183	8048
342	4193	8032
343	4207	8023
344	4223	8018
345	4236	8006
346	4246	7991
347	4257	7976
348	4270	7965
349	4282	7953
350	4294	7941
351	4308	7931
352	4322	7922
353	4335	7911
354	4346	7897
355	4359	7885
356	4371	7872
357	4383	7861
358	4394	7847
359	4407	7836
360	4424	7832
361	4440	7825
362	4456	7820
363	4469	7808
364	4481	7796
365	4495	7786
366	4507	7773
367	4522	7767
368	4536	7756
369	4549	7745
370	4562	7735
371	4574	7722
372	4586	7709
373	4600	7699
374	4614	7690
375	4627	7679
376	4641	7669
377	4653	7658
378	4665	7644
379	4677	7632
380	4690	7620
381	4703	7609
382	4715	7596
383	4728	7585
384	4743	7576
385	4762	7576
386	4777	7567
387	4790	7555
388	4802	7543
389	4814	7529
390	4826	7517
391	4838	7504
392	4850	7491
393	4861	7477
394	4873	7464
395	4886	7452
396	4898	7439
397	4909	7425
398	4921	7413
399	4936	7404
400	4954	7401
401	4964	7385
402	4976	7372
403	4987	7358
404	4999	7344
405	5010	7330
406	5021	7316
407	5032	7301
408	5042	7286
409	5053	7272
410	5064	7258
411	5075	7243
412	5086	7229
413	5096	7214
414	5107	7199
415	5125	7195
416	5147	7195
417	5172	7202
418	5199	7210
419	5237	7232
420	5252	7223
421	5268	7215
422	5285	7209
423	5301	7202
424	5314	7190
425	5327	7178
426	5343	7170
427	5361	7165
428	5380	7161
429	5397	7154
430	5416	7150
431	5434	7145
432	5459	7149
433	5511	7187
434	5557	7218
435	5592	7234
436	5618	7238
437	5697	7310
438	5883	7518
439	6023	7665
440	6068	7692
441	6191	7816
442	6231	7834
443	6271	7853
444	6291	7846
445	6323	7855
446	6428	7952
447	6518	8031
448	6671	8186
449	6789	8297
450	6840	8326
451	6898	8363
452	6929	8367
453	6957	8367
454	7018	8406
455	7065	8428
456	7154	8501
457	7287	8623
458	7404	8726
459	7547	8860
460	7631	8922
461	7745	9019
462	7855	9111
463	7951	9185
464	8027	9235
465	8083	9263
466	8094	9238
467	8105	9213
468	8115	9187
469	8126	9163
470	8138	9141
471	8150	9117
472	8162	9094
473	8175	9072
474	8194	9057
475	8214	9042
476	8251	9047
477	8327	9093
478	8362	9095
479	8389	9088
480	8416	9081
481	8433	9063
482	8452	9047
483	8482	9043
484	8506	9032
485	8522	9013
486	8537	8992
487	8558	8979
488	8582	8968
489	8598	8949
490	8608	8923
491	8619	8899
492	8633	8878
493	8647	8857
494	8660	8835
495	8672	8812
496	8683	8788
497	8696	8766
498	8707	8741
499	8717	8717
500	8729	8695
501	8740	8670
502	8754	8649
503	8769	8630
504	8781	8607
505	8805	8596
506	8817	8574
507	8829	8551
508	8841	8528
509	8854	8507
510	8868	8486
511	8881	8464
512	8899	8448
513	8919	8433
514	8933	8412
515	8944	8389
516	8954	8365
517	8966	8343
518	8977	8319
519	8992	8300
520	9007	8281
521	9020	8259
522	9036	8241
523	9050	8221
524	9068	8204
525	9085	8186
526	9099	8167
527	9118	8151
528	9136	8135
529	9152	8116
530	9165	8095
531	9210	8102
532	9251	8106
533	9299	8114
534	9368	8142
535	9410	8146
536	9439	8138
537	9482	8143
538	9505	8130
539	9518	8108
540	9533	8088
541	9550	8070
542	9564	8049
543	9588	8037
544	9602	8016
545	9617	7996
546	9630	7975
547	9643	7954
548	9655	7932
549	9670	7912
550	9690	7896
551	9708	7879
552	9740	7873
553	9756	7854
554	9772	7835
555	9795	7822
556	9814	7805
557	9834	7789
558	9855	7775
559	9876	7760
560	9895	7743
561	9919	7730
562	9942	7717
563	9965	7704
564	9989	7690
565	10011	7676
566	10114	7723
567	10134	7707
568	10143	7683
569	10152	7659
570	10163	7636
571	10174	7613
572	10193	7595
573	10207	7575
574	10225	7557
575	10240	7537
576	10253	7516
577	10282	7506
578	10295	7485
579	10315	7470
580	10334	7453
581	10374	7451
582	10386	7429
583	10396	7405
584	10407	7383
585	10419	7361
586	10434	7341
587	10466	7333
588	10502	7328
589	10513	7305
590	10523	7282
591	10534	7260
592	10549	7240
593	10559	7217
594	10571	7195
595	10588	7177
596	10600	7155
597	10613	7134
598	10625	7113
599	10828	7219
600	10870	7216
601	10928	7225
602	10982	7230
603	11052	7246
604	11153	7281
605	11205	7285
606	11234	7273
607	11254	7256
608	11272	7237
609	11289	7218
610	11309	7200
611	11332	7184
612	11351	7166
613	11373	7149
614	11392	7132
615	11615	7241
616	11651	7232
617	11690	7225
618	11733	7221
619	11773	7216
620	11821	7214
621	11841	7196
622	11862	7178
623	11879	7157
624	11901	7140
625	11918	7120
626	11934	7099
627	11947	7077
628	11958	7053
629	11967	7028
630	11977	7004
631	11989	6981
632	12002	6958
633	12015	6936
634	12026	6912
635	12044	6893
636	12064	6875
637	12127	6881
638	12193	6888
639	12209	6867
640	12224	6846
641	12235	6822
642	12246	6799
643	12259	6776
644	12271	6753
645	12283	6731
646	12293	6707
647	12305	6684
648	12319	6662
649	12330	6639
650	12342	6616
651	12357	6595
652	12376	6576
653	12392	6556
654	12408	6535
655	12427	6516
656	12442	6495
657	12461	6477
658	12479	6457
659	12595	6488
660	12637	6481
661	12652	6459
662	12667	6438
663	12683	6418
664	12718	6407
